x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
2.8666666667e-02,-5.0921745215e-19,-7.1851805686e-03,1.9588003006e-02,5.9027607113e-04,-6.8336089268e-03,1.8402817236e-02
2.9333333333e-02,-5.1991669592e-19,-7.4802701376e-03,1.9999569456e-02,6.0222325283e-04,-7.1122258535e-03,1.8787275651e-02
3.0000000000e-02,-5.3056529172e-19,-7.7807810561e-03,2.0409187637e-02,6.1406395712e-04,-7.3958925405e-03,1.9169816736e-02
3.0666666667e-02,-5.4116332606e-19,-8.0866874048e-03,2.0816860877e-02,6.2579682253e-04,-7.6845835392e-03,1.9550444467e-02
3.1333333333e-02,-5.5171088538e-19,-8.3979633086e-03,2.1222592501e-02,6.3742051520e-04,-7.9782734540e-03,1.9929162810e-02
3.2000000000e-02,-5.6220805609e-19,-8.7145829368e-03,2.1626385832e-02,6.4893372864e-04,-8.2769369416e-03,2.0305975729e-02
3.2666666667e-02,-5.7265492450e-19,-9.0365205031e-03,2.2028244191e-02,6.6033518352e-04,-8.5805487118e-03,2.0680887181e-02
3.3333333333e-02,-5.8305157691e-19,-9.3637502653e-03,2.2428170898e-02,6.7162362746e-04,-8.8890835267e-03,2.1053901116e-02
3.4000000000e-02,-5.9339809952e-19,-9.6962465253e-03,2.2826169268e-02,6.8279783481e-04,-9.2025162008e-03,2.1425021481e-02
3.4666666667e-02,-6.0369457851e-19,-1.0033983629e-02,2.3222242616e-02,6.9385660640e-04,-9.5208216014e-03,2.1794252217e-02
3.5333333333e-02,-6.1394109996e-19,-1.0376935968e-02,2.3616394255e-02,7.0479876936e-04,-9.8439746478e-03,2.2161597257e-02
3.6000000000e-02,-6.2413774994e-19,-1.0725077976e-02,2.4008627493e-02,7.1562317690e-04,-1.0171950312e-02,2.2527060532e-02
3.6666666667e-02,-6.3428461444e-19,-1.1078384131e-02,2.4398945640e-02,7.2632870807e-04,-1.0504723617e-02,2.2890645965e-02
3.7333333333e-02,-6.4438177937e-19,-1.1436828956e-02,2.4787352000e-02,7.3691426756e-04,-1.0842269640e-02,2.3252357474e-02
3.8000000000e-02,-6.5442933063e-19,-1.1800387018e-02,2.5173849877e-02,7.4737878549e-04,-1.1184563508e-02,2.3612198972e-02
3.8666666667e-02,-6.6442735403e-19,-1.2169032927e-02,2.5558442573e-02,7.5772121721e-04,-1.1531580402e-02,2.3970174366e-02
3.9333333333e-02,-6.7437593533e-19,-1.2542741339e-02,2.5941133385e-02,7.6794054306e-04,-1.1883295553e-02,2.4326287559e-02
4.0000000000e-02,-6.8427516023e-19,-1.2921486951e-02,2.6321925611e-02,7.7803576820e-04,-1.2239684246e-02,2.4680542447e-02
4.0666666667e-02,-6.9412511439e-19,-1.3305244506e-02,2.6700822546e-02,7.8800592234e-04,-1.2600721815e-02,2.5032942920e-02
4.1333333333e-02,-7.0392588339e-19,-1.3693988791e-02,2.7077827481e-02,7.9785005960e-04,-1.2966383649e-02,2.5383492865e-02
4.2000000000e-02,-7.1367755277e-19,-1.4087694636e-02,2.7452943707e-02,8.0756725828e-04,-1.3336645186e-02,2.5732196161e-02
4.2666666667e-02,-7.2338020800e-19,-1.4486336915e-02,2.7826174513e-02,8.1715662062e-04,-1.3711481917e-02,2.6079056683e-02
4.3333333333e-02,-7.3303393451e-19,-1.4889890545e-02,2.8197523184e-02,8.2661727267e-04,-1.4090869383e-02,2.6424078300e-02
