x,linear_u,linear_w,linear_phi,nonlinear_u,nonlinear_w,nonlinear_phi
3.299999833106994629e-01,-1.977688839360780548e-07,-3.685874044895172119e-01,5.520384386181831360e-02,-2.227203221991658211e-03,-3.388455808162689209e-01,4.918177053332328796e-02
3.349999785423278809e-01,-1.000939064965677971e-07,-3.741279244422912598e-01,5.399233102798461914e-02,-2.235695719718933105e-03,-3.437648117542266846e-01,4.806507006287574768e-02
3.400000035762786865e-01,1.244789338272767054e-08,-3.795428276062011719e-01,5.274427309632301331e-02,-2.238667570054531097e-03,-3.485691845417022705e-01,4.691881313920021057e-02
3.449999988079071045e-01,1.072402895374580112e-07,-3.848284780979156494e-01,5.146077275276184082e-02,-2.236085012555122375e-03,-3.532561659812927246e-01,4.574402049183845520e-02
3.499999940395355225e-01,2.062744073327849037e-07,-3.899809718132019043e-01,5.014292895793914795e-02,-2.228035824373364449e-03,-3.578228652477264404e-01,4.454164206981658936e-02
3.549999892711639404e-01,3.078390875543846050e-07,-3.949971199035644531e-01,4.879177734255790710e-02,-2.214513951912522316e-03,-3.622670173645019531e-01,4.331260547041893005e-02
3.599999845027923584e-01,4.071727062182617374e-07,-3.998734652996063232e-01,4.740846902132034302e-02,-2.195625333115458488e-03,-3.665857613086700439e-01,4.205793514847755432e-02
3.649999797344207764e-01,5.106238631924497895e-07,-4.046070873737335205e-01,4.599406570196151733e-02,-2.171402564272284508e-03,-3.707767426967620850e-01,4.077853634953498840e-02
3.700000047683715820e-01,5.977744308438559528e-07,-4.091950654983520508e-01,4.454970359802246094e-02,-2.141939941793680191e-03,-3.748379349708557129e-01,3.947531804442405701e-02
3.750000000000000000e-01,6.909749572514556348e-07,-4.136339426040649414e-01,4.307642951607704163e-02,-2.107321284711360931e-03,-3.787666559219360352e-01,3.814922645688056946e-02
3.799999952316284180e-01,7.867426461416471284e-07,-4.179210960865020752e-01,4.157537221908569336e-02,-2.067668829113245010e-03,-3.825607895851135254e-01,3.680118918418884277e-02
3.849999904632568359e-01,8.749026960686023813e-07,-4.220539331436157227e-01,4.004760086536407471e-02,-2.023048233240842819e-03,-3.862183094024658203e-01,3.543211519718170166e-02
3.899999856948852539e-01,9.690137403595144860e-07,-4.260298609733581543e-01,3.849423676729202271e-02,-1.973620615899562836e-03,-3.897371590137481689e-01,3.404292091727256775e-02
3.949999809265136719e-01,1.046838065121846739e-06,-4.298462569713592529e-01,3.691636770963668823e-02,-1.919516129419207573e-03,-3.931151926517486572e-01,3.263444080948829651e-02
3.999999761581420898e-01,1.125088829212472774e-06,-4.335007965564727783e-01,3.531506285071372986e-02,-1.860845950432121754e-03,-3.963503837585449219e-01,3.120764158666133881e-02
4.050000011920928955e-01,1.200578026328003034e-06,-4.369914233684539795e-01,3.369145467877388000e-02,-1.797772711142897606e-03,-3.994411826133728027e-01,2.976332046091556549e-02
4.099999964237213135e-01,1.278630065826291684e-06,-4.403156042098999023e-01,3.204666078090667725e-02,-1.730433548800647259e-03,-4.023857414722442627e-01,2.830243110656738281e-02
4.149999916553497314e-01,1.340685003015096299e-06,-4.434716999530792236e-01,3.038171678781509399e-02,-1.658982480876147747e-03,-4.051820933818817139e-01,2.682580426335334778e-02
4.199999868869781494e-01,1.406495925948547665e-06,-4.464577138423919678e-01,2.869779616594314575e-02,-1.583636505529284477e-03,-4.078288972377777100e-01,2.533429674804210663e-02
4.249999821186065674e-01,1.463316721128649078e-06,-4.492717683315277100e-01,2.699596807360649109e-02,-1.504523912444710732e-03,-4.103243350982666016e-01,2.382878959178924561e-02
4.299999773502349854e-01,1.505093791820399929e-06,-4.519121348857879639e-01,2.527730539441108704e-02,-1.421811408363282681e-03,-4.126671850681304932e-01,2.231010608375072479e-02
4.350000023841857910e-01,1.567836079630069435e-06,-4.543770849704742432e-01,2.354294992983341217e-02,-1.335754408501088619e-03,-4.148558080196380615e-01,2.077909745275974274e-02
4.399999976158142090e-01,1.601196231604262721e-06,-4.566656351089477539e-01,2.179399505257606506e-02,-1.246471540071070194e-03,-4.168890118598937988e-01,1.923665590584278107e-02
4.449999928474426270e-01,1.647255317038798239e-06,-4.587762951850891113e-01,2.003156393766403198e-02,-1.154257799498736858e-03,-4.187656342983245850e-01,1.768356002867221832e-02
4.499999880790710449e-01,1.675651219557039440e-06,-4.607074856758117676e-01,1.825670711696147919e-02,-1.059199683368206024e-03,-4.204842448234558105e-01,1.612070016562938690e-02
4.549999833106994629e-01,1.705656586636905558e-06,-4.624584019184112549e-01,1.647058315575122833e-02,-9.615715243853628635e-04,-4.220440089702606201e-01,1.454890239983797073e-02
4.599999785423278809e-01,1.716908172966213897e-06,-4.640279710292816162e-01,1.467429567128419876e-02,-8.616444538347423077e-04,-4.234440624713897705e-01,1.296896208077669144e-02
4.650000035762786865e-01,1.749156353980652057e-06,-4.654151797294616699e-01,1.286890543997287750e-02,-7.595263305120170116e-04,-4.246830046176910400e-01,1.138174068182706833e-02
4.699999988079071045e-01,1.761649059517367277e-06,-4.666193723678588867e-01,1.105556916445493698e-02,-6.555354921147227287e-04,-4.257605671882629395e-01,9.788103401660919189e-03
4.749999940395355225e-01,1.757090899445756804e-06,-4.676398932933807373e-01,9.235383011400699615e-03,-5.498633254319429398e-04,-4.266757965087890625e-01,8.188826963305473328e-03
4.799999892711639404e-01,1.768904439813923091e-06,-4.684759378433227539e-01,7.409434299916028976e-03,-4.427554667927324772e-04,-4.274281263351440430e-01,6.584791000932455063e-03
4.849999845027923584e-01,1.757117956913134549e-06,-4.691272377967834473e-01,5.578849930316209793e-03,-3.344486176501959562e-04,-4.280169606208801270e-01,4.976817406713962555e-03
4.899999797344207764e-01,1.746825773807358928e-06,-4.695934951305389404e-01,3.744738176465034485e-03,-2.251697733299806714e-04,-4.284418523311614990e-01,3.365668002516031265e-03
4.949999749660491943e-01,1.732450414237973746e-06,-4.698739647865295410e-01,1.908226055093109608e-03,-1.152293625636957586e-04,-4.287026226520538330e-01,1.752263400703668594e-03
5.000000000000000000e-01,1.710272044874727726e-06,-4.699693024158477783e-01,7.040170021355152130e-05,-4.812114639207720757e-06,-4.287991523742675781e-01,1.374005805701017380e-04
5.049999952316284180e-01,1.689613895905495156e-06,-4.698786437511444092e-01,-1.767656649462878704e-03,1.058109701261855662e-04,-4.287308156490325928e-01,-1.478074584156274796e-03
5.099999904632568359e-01,1.660247562540462241e-06,-4.696026444435119629e-01,-3.604735247790813446e-03,2.163649187423288822e-04,-4.284980297088623047e-01,-3.093302482739090919e-03
5.149999856948852539e-01,1.610101548976672348e-06,-4.691413044929504395e-01,-5.439809989184141159e-03,3.266270505264401436e-04,-4.281006455421447754e-01,-4.707461223006248474e-03
5.199999809265136719e-01,1.577359171278658323e-06,-4.684949219226837158e-01,-7.271711248904466629e-03,4.363006737548857927e-04,-4.275388717651367188e-01,-6.319720763713121414e-03
5.250000357627868652e-01,1.517410510132322088e-06,-4.676637351512908936e-01,-9.099381975829601288e-03,5.451235920190811157e-04,-4.268130362033843994e-01,-7.929223589599132538e-03
5.300000309944152832e-01,1.473050588174373843e-06,-4.666485488414764404e-01,-1.092168036848306656e-02,6.528796511702239513e-04,-4.259232282638549805e-01,-9.535104036331176758e-03
5.350000262260437012e-01,1.412742903994512744e-06,-4.654496908187866211e-01,-1.273745764046907425e-02,7.592539186589419842e-04,-4.248703420162200928e-01,-1.113647036254405975e-02
5.400000214576721191e-01,1.347688680652936455e-06,-4.640679657459259033e-01,-1.454566605389118195e-02,8.640115265734493732e-04,-4.236545562744140625e-01,-1.273254491388797760e-02
5.450000166893005371e-01,1.280718265661562327e-06,-4.625041484832763672e-01,-1.634509488940238953e-02,9.668980492278933525e-04,-4.222766757011413574e-01,-1.432236377149820328e-02
5.500000119209289551e-01,1.210958430419850629e-06,-4.607594609260559082e-01,-1.813472807407379150e-02,1.067602890543639660e-03,-4.207375347614288330e-01,-1.590513624250888824e-02
5.550000071525573730e-01,1.143065901487716474e-06,-4.588345587253570557e-01,-1.991338096559047699e-02,1.165947993285953999e-03,-4.190379679203033447e-01,-1.747990772128105164e-02
5.600000023841857910e-01,1.067889684236433823e-06,-4.567305743694305420e-01,-2.167999185621738434e-02,1.261648256331682205e-03,-4.171786904335021973e-01,-1.904585398733615875e-02
5.649999976158142090e-01,9.809473340283147991e-07,-4.544489979743957520e-01,-2.343340963125228882e-02,1.354401232674717903e-03,-4.151609539985656738e-01,-2.060207538306713104e-02
5.699999928474426270e-01,8.997292866297357250e-07,-4.519912898540496826e-01,-2.517248690128326416e-02,1.444019027985632420e-03,-4.129860699176788330e-01,-2.214764431118965149e-02
5.749999880790710449e-01,8.124036980916571338e-07,-4.493585228919982910e-01,-2.689617127180099487e-02,1.530209090560674667e-03,-4.106548130512237549e-01,-2.368165925145149231e-02
5.799999833106994629e-01,7.190791961875220295e-07,-4.465527832508087158e-01,-2.860327810049057007e-02,1.612837309949100018e-03,-4.081689715385437012e-01,-2.520323544740676880e-02
5.850000381469726562e-01,6.343428253785532434e-07,-4.435752630233764648e-01,-3.029276989400386810e-02,1.691579003818333149e-03,-4.055295884609222412e-01,-2.671143412590026855e-02
5.900000333786010742e-01,5.446452178148319945e-07,-4.404277503490447998e-01,-3.196346387267112732e-02,1.766225206665694714e-03,-4.027385115623474121e-01,-2.820532768964767456e-02
5.950000286102294922e-01,4.545877629880124005e-07,-4.371125996112823486e-01,-3.361425921320915222e-02,1.836587442085146904e-03,-3.997970223426818848e-01,-2.968396618962287903e-02
6.000000238418579102e-01,3.383075863894191571e-07,-4.336313903331756592e-01,-3.524402529001235962e-02,1.902412972413003445e-03,-3.967069983482360840e-01,-3.114643320441246033e-02
6.050000190734863281e-01,2.505083500636828830e-07,-4.299865961074829102e-01,-3.685167431831359863e-02,1.963578164577484131e-03,-3.934704065322875977e-01,-3.259176388382911682e-02
6.100000143051147461e-01,1.518943548717288650e-07,-4.261800646781921387e-01,-3.843605518341064453e-02,2.019859617576003075e-03,-3.900886774063110352e-01,-3.401902318000793457e-02
6.150000095367431641e-01,5.414994319608013029e-08,-4.222142398357391357e-01,-3.999608010053634644e-02,2.071099122986197472e-03,-3.865640759468078613e-01,-3.542718663811683655e-02
6.200000047683715820e-01,-4.880714499222449376e-08,-4.180917143821716309e-01,-4.153060913085937500e-02,2.117119031026959419e-03,-3.828985989093780518e-01,-3.681537136435508728e-02
6.250000000000000000e-01,-1.367379809380508959e-07,-4.138149619102478027e-01,-4.303855076432228088e-02,2.157792681828141212e-03,-3.790942430496215820e-01,-3.818248957395553589e-02
6.299999952316284180e-01,-2.393295801539352397e-07,-4.093864858150482178e-01,-4.451875388622283936e-02,2.192952902987599373e-03,-3.751534819602966309e-01,-3.952762112021446228e-02
6.349999904632568359e-01,-3.208583621017169207e-07,-4.048092961311340332e-01,-4.597010463476181030e-02,2.222526352852582932e-03,-3.710781633853912354e-01,-4.084973037242889404e-02
6.399999856948852539e-01,-4.202351249205094064e-07,-4.000863432884216309e-01,-4.739151149988174438e-02,2.246378920972347260e-03,-3.668712377548217773e-01,-4.214783757925033569e-02
6.449999809265136719e-01,-5.259668114376836456e-07,-3.952203989028930664e-01,-4.878186061978340149e-02,2.264462411403656006e-03,-3.625347614288330078e-01,-4.342089220881462097e-02
6.500000357627868652e-01,-6.090239708100853022e-07,-3.902143836021423340e-01,-5.014003068208694458e-02,2.276656217873096466e-03,-3.580714762210845947e-01,-4.466787353157997131e-02
6.550000309944152832e-01,-6.967001695556973573e-07,-3.850720524787902832e-01,-5.146486312150955200e-02,2.282912144437432289e-03,-3.534840047359466553e-01,-4.588779062032699585e-02
6.600000262260437012e-01,-7.854712862354062963e-07,-3.797960281372070312e-01,-5.275531485676765442e-02,2.283238340169191360e-03,-3.487749695777893066e-01,-4.707955569028854370e-02
6.650000214576721191e-01,-8.860106390784494579e-07,-3.743905127048492432e-01,-5.401019379496574402e-02,2.277585910633206367e-03,-3.439472317695617676e-01,-4.824212193489074707e-02
6.700000166893005371e-01,-9.575967396813211963e-07,-3.688587844371795654e-01,-5.522843077778816223e-02,2.266002818942070007e-03,-3.390038907527923584e-01,-4.937446862459182739e-02
6.750000119209289551e-01,-1.022859692056954373e-06,-3.632041811943054199e-01,-5.640893802046775818e-02,2.248454373329877853e-03,-3.339476883411407471e-01,-5.047545954585075378e-02
6.800000071525573730e-01,-1.108615833800286055e-06,-3.574308156967163086e-01,-5.755050480365753174e-02,2.224983181804418564e-03,-3.287818133831024170e-01,-5.154407396912574768e-02
6.850000023841857910e-01,-1.174877411358465906e-06,-3.515426516532897949e-01,-5.865215510129928589e-02,2.195686101913452148e-03,-3.235093951225280762e-01,-5.257921665906906128e-02
6.899999976158142090e-01,-1.218853299178590532e-06,-3.455431163311004639e-01,-5.971269309520721436e-02,2.160650445148348808e-03,-3.181337416172027588e-01,-5.357981845736503601e-02
6.949999928474426270e-01,-1.290009777221712284e-06,-3.394370675086975098e-01,-6.073101237416267395e-02,2.119922544807195663e-03,-3.126582503318786621e-01,-5.454475060105323792e-02
6.999999880790710449e-01,-1.342140080851095263e-06,-3.332284390926361084e-01,-6.170603260397911072e-02,2.073716372251510620e-03,-3.070863485336303711e-01,-5.547291040420532227e-02
7.049999833106994629e-01,-1.403575652147992514e-06,-3.269216418266296387e-01,-6.263664364814758301e-02,2.022053347900509834e-03,-3.014216125011444092e-01,-5.636320263147354126e-02
7.099999785423278809e-01,-1.453236109227873385e-06,-3.205208778381347656e-01,-6.352169811725616455e-02,1.965184230357408524e-03,-2.956680059432983398e-01,-5.721450969576835632e-02
7.150000333786010742e-01,-1.477711975894635543e-06,-3.140308260917663574e-01,-6.436017155647277832e-02,1.903253723867237568e-03,-2.898287475109100342e-01,-5.802575126290321350e-02
7.200000286102294922e-01,-1.516763973086199258e-06,-3.074562549591064453e-01,-6.515082716941833496e-02,1.836484181694686413e-03,-2.839081585407257080e-01,-5.879567563533782959e-02
7.250000238418579102e-01,-1.544587689750187565e-06,-3.008020520210266113e-01,-6.589267402887344360e-02,1.765068154782056808e-03,-2.779101133346557617e-01,-5.952326208353042603e-02
7.300000190734863281e-01,-1.573955273670435417e-06,-2.940732538700103760e-01,-6.658457964658737183e-02,1.689253607764840126e-03,-2.718387246131896973e-01,-6.020731106400489807e-02
7.350000143051147461e-01,-1.590217379998648539e-06,-2.872743606567382812e-01,-6.722544878721237183e-02,1.609288621693849564e-03,-2.656982839107513428e-01,-6.084669753909111023e-02
7.400000095367431641e-01,-1.604513954589492641e-06,-2.804111838340759277e-01,-6.781418621540069580e-02,1.525462372228503227e-03,-2.594932019710540771e-01,-6.144024431705474854e-02
7.450000047683715820e-01,-1.594906393620476592e-06,-2.734883129596710205e-01,-6.834967434406280518e-02,1.438040402717888355e-03,-2.532278001308441162e-01,-6.198680773377418518e-02
7.500000000000000000e-01,-1.595781213836744428e-06,-2.665117383003234863e-01,-6.883078068494796753e-02,1.347321784123778343e-03,-2.469068169593811035e-01,-6.248526647686958313e-02
7.549999952316284180e-01,-1.588762188475811854e-06,-2.594866156578063965e-01,-6.925653666257858276e-02,1.253615482710301876e-03,-2.405350357294082642e-01,-6.293438374996185303e-02
7.599999904632568359e-01,-1.579555714670277666e-06,-2.524187266826629639e-01,-6.962569802999496460e-02,1.157294027507305145e-03,-2.341171801090240479e-01,-6.333304196596145630e-02
7.649999856948852539e-01,-1.555484232085291296e-06,-2.453138232231140137e-01,-6.993728131055831909e-02,1.058644615113735199e-03,-2.276584357023239136e-01,-6.368001550436019897e-02
7.699999809265136719e-01,-1.521123408565472346e-06,-2.381776571273803711e-01,-7.019014656543731689e-02,9.580432670190930367e-04,-2.211635708808898926e-01,-6.397420912981033325e-02
7.749999761581420898e-01,-1.491222178628959227e-06,-2.310161292552947998e-01,-7.038319110870361328e-02,8.558558183722198009e-04,-2.146382927894592285e-01,-6.421434879302978516e-02
7.800000309944152832e-01,-1.449591422897356097e-06,-2.238352596759796143e-01,-7.051541656255722046e-02,7.524375105276703835e-04,-2.080877870321273804e-01,-6.439930200576782227e-02
7.850000262260437012e-01,-1.399320353812072426e-06,-2.166415303945541382e-01,-7.058561593294143677e-02,6.481895688921213150e-04,-2.015176862478256226e-01,-6.452787667512893677e-02
