x,u_linear,w_linear,phi_linear,u_nonlinear,w_nonlinear,phi_nonlinear
0,-6.55516480603221e-33,3.39814738379344e-18,-2.74177071379963e-16,-5.99166733750012e-26,-2.04544917601145e-27,1.37379097271123e-27
0.00508927905953366,-1.05926624801171e-19,-0.000471673713132463,0.00407466601198478,0.000132332745812799,-0.000455127749239879,0.00377221365891936
0.0202535131927513,-4.02405383146649e-19,-0.00423289436087543,0.0154792767241026,0.000507997188922788,-0.00397970100159961,0.0142819395751283
0.0451840023227408,-8.29426702855831e-19,-0.0173751514678236,0.0319054515510463,0.0010087736654621,-0.0161355248311373,0.0292810966563823
0.0793732335844094,-1.29924924444959e-18,-0.0472109796167083,0.0499780555397979,0.00135090682717066,-0.0434799721573592,0.0455542034161409
0.122125212822871,-1.71247295719695e-18,-0.0990218252118924,0.0658734795735432,0.00116900283210934,-0.0905541859746603,0.0595754931907563
0.172569633027357,-1.97629914485438e-18,-0.173185934233188,0.0760220479994436,0.00027669066535339,-0.157357802050556,0.0681962418201012
0.229679591272201,-2.02167128642895e-18,-0.263694971638629,0.0777673724021793,-0.0010877347777121,-0.238207149358984,0.0692188736226497
0.292292493499057,-1.81619114164187e-18,-0.358640780936628,0.0698631937910575,-0.00227877391715612,-0.3223831940537,0.0617588658238904
0.359133721579285,-1.37046687824292e-18,-0.442632849561849,0.0527175752065143,-0.00258884157387468,-0.396387350749098,0.0463541988284043
0.428842580863357,-7.36735858090514e-19,-0.500489397540821,0.028339924607312,-0.00171306536989794,-0.447139129106359,0.0248348881148396
0.5,-6.69498065270499e-32,-0.52112703018979,2.47278018185908e-15,1.20828556018791e-16,-0.465200919412912,1.70469920851754e-15
0.571157419136643,7.36735858090389e-19,-0.500489397540828,-0.0283399246073074,0.00171306536989826,-0.447139129106364,-0.0248348881148354
0.640866278420715,1.37046687824284e-18,-0.442632849561862,-0.0527175752065115,0.00258884157387521,-0.396387350749109,-0.0463541988284007
0.707707506500943,1.81619114164187e-18,-0.358640780936643,-0.0698631937910578,0.00227877391715682,-0.322383194053715,-0.0617588658238895
0.770320408727799,2.021671286429e-18,-0.263694971638642,-0.0777673724021816,0.00108773477771279,-0.238207149358998,-0.069218873622651
0.827430366972642,1.97629914485445e-18,-0.173185934233197,-0.0760220479994469,-0.000276690665352882,-0.157357802050568,-0.0681962418201044
0.877874787177129,1.71247295719704e-18,-0.0990218252118985,-0.0658734795735468,-0.00116900283210907,-0.0905541859746677,-0.0595754931907605
0.92062676641559,1.29924924444965e-18,-0.0472109796167114,-0.0499780555398009,-0.00135090682717057,-0.0434799721573629,-0.0455542034161445
0.954815997677259,8.29426702855872e-19,-0.0173751514678248,-0.0319054515510484,-0.0010087736654621,-0.0161355248311387,-0.0292810966563848
0.979746486807249,4.02405383146665e-19,-0.00423289436087573,-0.0154792767241037,-0.000507997188922793,-0.00397970100159995,-0.0142819395751295
0.994910720940466,1.0592662480117e-19,-0.000471673713132498,-0.00407466601198525,-0.000132332745812801,-0.000455127749239912,-0.00377221365891965
1,0,0,0,0,0,0
